时间,设备名称,故障模式,健康度
2025/04/01 00:00:01	,管磨机	,速度均方根	,78.31	,
2025/04/01 00:00:01	,管磨机	,平稳冲击烈度	,91.38	,
2025/04/01 00:00:01	,管磨机	,优化峭度	,84.61	,
2025/04/01 00:00:01	,管磨机	,1K～10KHz均方根	,93.44	,
2025/04/01 00:00:01	,管磨机	,10K～25.6KHz均方根	,96.91	,
2025/04/01 00:00:01	,管磨机	,优化峰值	,89.42	,
2025/04/01 00:00:01	,管磨机	,0.1～10Hz均方根	,92.79	,
2025/04/01 00:00:01	,管磨机	,10～100Hz均方根	,76.13	,
2025/04/01 00:00:01	,管磨机	,10～1000Hz峰值	,86.1	,
2025/04/01 00:00:01	,管磨机	,转子平衡状态	,97.44	,
2025/04/01 00:00:01	,管磨机	,转子对中状态	,98	,
2025/04/01 00:00:01	,管磨机	,配合状态	,90.16	,
2025/04/01 00:00:01	,管磨机	,滚动轴承润滑状态	,93.3	,
2025/04/01 00:00:01	,管磨机	,部件碰摩状态	,96.23	,
2025/04/01 00:00:01	,管磨机	,电磁状态	,98	,
2025/04/01 00:20:00	,管磨机	,速度均方根	,66.26	,
2025/04/01 00:20:00	,管磨机	,平稳冲击烈度	,90.35	,
2025/04/01 00:20:00	,管磨机	,优化峭度	,75.2	,
2025/04/01 00:20:00	,管磨机	,1K～10KHz均方根	,93.82	,
2025/04/01 00:20:00	,管磨机	,10K～25.6KHz均方根	,96.66	,
2025/04/01 00:20:00	,管磨机	,优化峰值	,82.21	,
2025/04/01 00:20:00	,管磨机	,0.1～10Hz均方根	,96.29	,
2025/04/01 00:20:00	,管磨机	,10～100Hz均方根	,74.98	,
2025/04/01 00:20:00	,管磨机	,10～1000Hz峰值	,75.57	,
2025/04/01 00:20:00	,管磨机	,转子平衡状态	,95.54	,
2025/04/01 00:20:00	,管磨机	,转子对中状态	,93.4	,
2025/04/01 00:20:00	,管磨机	,配合状态	,84.62	,
2025/04/01 00:20:00	,管磨机	,滚动轴承润滑状态	,94.33	,
2025/04/01 00:20:00	,管磨机	,部件碰摩状态	,94.28	,
2025/04/01 00:20:00	,管磨机	,电磁状态	,98	,
2025/04/01 00:40:00	,管磨机	,速度均方根	,66.26	,
